model,algorithm,R2
,XGBoost,0.869650352
,XGBoost,0.85314087
,XGBoost,0.918870327
,XGBoost,0.884085925
,XGBoost,0.868096792
,XGBoost,0.880161859
,XGBoost,0.899014408
,XGBoost,0.8798192
,XGBoost,0.903481815
,XGBoost,0.6777864
,XGBoost,0.575445736
,XGBoost,0.909310153
,XGBoost,0.89325056
,XGBoost,0.735787138
,XGBoost,0.922340349
,XGBoost,0.733886184
,XGBoost,0.783938806
,XGBoost,0.797484829
,XGBoost,0.7797609
,XGBoost,0.912984544
,XGBoost,0.924510512
,XGBoost,0.641622901
,XGBoost,0.913133206
,XGBoost,0.890808804
,RF,0.847984176
,RF,0.793789208
,RF,0.911164286
,RF,0.860619691
,RF,0.824590722
,RF,0.86078022
,RF,0.879003434
,RF,0.89081216
,RF,0.877014961
,RF,0.657770092
,RF,0.611973739
,RF,0.890749727
,RF,0.854650308
,RF,0.704870293
,RF,0.908070501
,RF,0.704670809
,RF,0.802724564
,RF,0.810179917
,RF,0.721099946
,RF,0.906182934
,RF,0.916129933
,RF,0.613952919
,RF,0.911483147
,RF,0.867657636
,KNN,0.876261752
,KNN,0.695670502
,KNN,0.894118697
,KNN,0.557757455
,KNN,0.730237453
,KNN,0.758730411
,KNN,0.85887082
,KNN,0.869440381
,KNN,0.833127774
,KNN,0.441128263
,KNN,0.466846219
,KNN,0.87376858
,KNN,0.892890596
,KNN,0.660437474
,KNN,0.924399064
,KNN,0.698206777
,KNN,0.839938831
,KNN,0.844725261
,KNN,0.534559037
,KNN,0.90252202
,KNN,0.900648705
,KNN,0.311972478
,KNN,0.887003219
,KNN,0.265888094
,FCNN,0.854517251
,FCNN,0.340219084
,FCNN,0.912083467
,FCNN,0.643885874
,FCNN,0.813808403
,FCNN,0.847871397
,FCNN,0.844214242
,FCNN,0.880949087
,FCNN,0.869199277
,FCNN,0.388114329
,FCNN,0.452552392
,FCNN,0.87755796
,FCNN,0.908828784
,FCNN,0.792630154
,FCNN,0.914383987
,FCNN,0.551479989
,FCNN,0.70618509
,FCNN,0.701282323
,FCNN,0.277012022
,FCNN,0.916307833
,FCNN,0.931846256
,FCNN,0.277746088
,FCNN,0.918445957
,FCNN,0.716268898
,SVM,0.864424816
,SVM,0.454964912
,SVM,0.918231754
,SVM,0.337819165
,SVM,0.595979647
,SVM,0.714407582
,SVM,0.892454169
,SVM,0.877730319
,SVM,0.886768671
,SVM,0.244416996
,SVM,0.413557951
,SVM,0.903884892
,SVM,0.88931424
,SVM,0.78517511
,SVM,0.915292686
,SVM,0.387529378
,SVM,0.80779734
,SVM,0.791044468
,SVM,0.141985264
,SVM,0.90436643
,SVM,0.919887824
,SVM,0.085805102
,SVM,0.916407816
,SVM,0.316347164
