model,algorithm,RMSE
,XGBoost,1.678887816
,XGBoost,1.751567505
,XGBoost,1.288381489
,XGBoost,1.557098096
,XGBoost,1.660601823
,XGBoost,1.566282734
,XGBoost,1.439013863
,XGBoost,1.577218308
,XGBoost,1.420665755
,XGBoost,2.591165544
,XGBoost,2.968925035
,XGBoost,1.361092637
,XGBoost,1.523646707
,XGBoost,2.379193564
,XGBoost,1.288470257
,XGBoost,2.338658074
,XGBoost,2.067316572
,XGBoost,2.008435429
,XGBoost,2.135623566
,XGBoost,1.339075016
,XGBoost,1.240772305
,XGBoost,2.707785841
,XGBoost,1.337049876
,XGBoost,1.518386646
,RF,1.832481023
,RF,2.161823387
,RF,1.367340893
,RF,1.700851377
,RF,1.919021403
,RF,1.728529299
,RF,1.596848546
,RF,1.479837205
,RF,1.560664567
,RF,2.72506899
,RF,2.810424447
,RF,1.498168129
,RF,1.792280648
,RF,2.726319311
,RF,1.394748768
,RF,2.452733751
,RF,2.032801747
,RF,1.955876985
,RF,2.407129544
,RF,1.416241389
,RF,1.328050825
,RF,2.815700187
,RF,1.352898767
,RF,1.671655886
,KNN,1.586433041
,KNN,2.50695702
,KNN,1.414453199
,KNN,3.049986651
,KNN,2.368633781
,KNN,2.176340867
,KNN,1.649621442
,KNN,1.63627487
,KNN,1.838982722
,KNN,3.45903335
,KNN,3.35297524
,KNN,1.572846512
,KNN,1.44698778
,KNN,2.738341346
,KNN,1.229555174
,KNN,2.52442642
,KNN,1.715562176
,KNN,1.795326656
,KNN,3.109444509
,KNN,1.404352648
,KNN,1.317289616
,KNN,3.81364923
,KNN,1.457277112
,KNN,3.919970075
,FCNN,1.716616558
,FCNN,4.422573735
,FCNN,1.334908432
,FCNN,2.733295997
,FCNN,2.034978532
,FCNN,1.784759797
,FCNN,1.751008793
,FCNN,1.567137945
,FCNN,1.673837554
,FCNN,3.648659869
,FCNN,3.375509265
,FCNN,1.576151812
,FCNN,1.377518409
,FCNN,2.102974527
,FCNN,1.331402692
,FCNN,3.069521764
,FCNN,2.467476544
,FCNN,2.519761897
,FCNN,3.973667615
,FCNN,1.336452873
,FCNN,1.183035346
,FCNN,3.953014335
,FCNN,1.318264379
,FCNN,2.399599385
,SVM,1.727525238
,SVM,3.402907615
,SVM,1.303864472
,SVM,3.769628158
,SVM,2.892271746
,SVM,2.477454567
,SVM,1.45919146
,SVM,1.571635382
,SVM,1.482456108
,SVM,4.141373727
,SVM,3.567999345
,SVM,1.418225156
,SVM,1.569841323
,SVM,2.356609881
,SVM,1.317450559
,SVM,3.633598483
,SVM,1.988585257
,SVM,2.056639598
,SVM,4.573819242
,SVM,1.411602262
,SVM,1.285230648
,SVM,4.559324718
,SVM,1.325480017
,SVM,4.036821267
