seed,pearson_r2,rmse,mse,mae,mape
seed128/eva_test_test_Pred.csv:rt_min_pred,0.111012325,3.96983859,15.75961843,3.303106407,0.948738097
seed16/eva_test_test_Pred.csv:rt_min_pred,0.368084152,3.203435571,10.26199946,2.623237174,0.742090807
seed1/eva_test_test_Pred.csv:rt_min_pred,0.143307614,4.165055039,17.34768348,3.037755987,0.695535223
seed256/eva_test_test_Pred.csv:rt_min_pred,0.412165965,3.513655163,12.3457726,2.86704518,0.998965727
seed2/eva_test_test_Pred.csv:rt_min_pred,0.191483993,4.133214461,17.08346178,3.206448459,0.850556228
seed32/eva_test_test_Pred.csv:rt_min_pred,0.232301121,4.864963176,23.6678667,3.705004196,1.090117453
seed4/eva_test_test_Pred.csv:rt_min_pred,0.288257345,3.451707935,11.91428767,2.589321747,0.385151201
seed512/eva_test_test_Pred.csv:rt_min_pred,0.479488856,3.9372562,15.50198638,2.453761905,0.377923002
seed64/eva_test_test_Pred.csv:rt_min_pred,0.109089895,4.34310953,18.86260039,3.223283334,1.17472885
seed8/eva_test_test_Pred.csv:rt_min_pred,0.42894625,3.812934395,14.5384687,2.759505704,0.795097586
average,0.276413752,3.939517006,15.72837456,2.976847009,0.805890417
